subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Gender and Communication,BJMC341,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Broadcasting Journalism I (Radio),BJMC342,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Creative Writing,BJMC335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Basics of New Media,BJMC334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Photo Journalism,BJMC332,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Media Ethics,BJMC333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
News Editing,BJMC331,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Communication Theories & Models,BJMC324,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Fundamentals of Computer Applications,BJMC325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Journalistic Content,BJMC326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Broadcasting,BJMC323,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Basics of Photography,BJMC322,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
"Profile, Event Coverage & Narration",BJMC315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
News Reporting,BJMC321,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
History of Journalism,BJMC314,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Ordinary Differential Equations,MATH325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Communication & Mass Media,BJMC312,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Journalism,BJMC313,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
"Thinking, Reasoning & Problem Sol.Skills",ENG452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Curriculum Development and Design,CE513,3,1,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Measurement and Evaluation,CE514,3,1,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Foundations of Curriculum Development,CE515,3,1,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Psychological Testing,CE516,3,1,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Managing Diversity in Education,EDU521,3,2,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Application of Learning Theories in Edu.,EDU522,3,2,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Research Methods in Education,EDU523,3,2,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Program Evaluation,CE524,3,2,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Philosophical Foundations of Education,EDU511,3,1,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Education and Development,EDU512,3,1,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Contemporary Issues in Curriculum Dev.,CE525,3,2,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Curriculum Theory and Practice,CE526,3,2,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Managing Diversity in Curriculum,CE531,3,3,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Curriculum and Ideology,CE532,3,3,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Appli. of Stat. in Test Dev.& Evaluation,CE533,3,3,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Action Research in Curri. Instruction,CE534,3,3,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Curriculum Dev. in Post Modern Era,CE535,3,3,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Curriculum Leadership,CE536,3,3,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Student Teaching: On Campus,CE541,6,4,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Student Teaching: Off Campus,CE542,3,4,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Thesis Writing,CE543,12,4,Musikot Khalanga Multiple Campus,MEd in Curriculam and Evaluation,Master
Philosophical Foundations of Education,EDU511,3,1,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Education and Development,EDU512,3,1,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Bhasa Bigyan,NEP513,3,1,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Purbiya Sahitya Siddhant,NEP514,3,1,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Adhunik Nepali Kabita,NEP515,3,1,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Adhunik Nepali Katha,NEP516,3,1,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Managing Diversity in Education,EDU521,3,2,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Application of Learning Theories in Edu.,EDU522,3,2,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Research Methods in Education,EDU523,3,2,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Adhunik Nepali Upanyas,NEP524,3,2,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Nepali Khanda Kavya Ra Maha Kavya,NEP525,3,2,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Kosh Bigyan,NEP526,3,2,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Samajik Tatha Manobhasa Bigyan,NEP531,3,3,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Bhasik Anusandhan Bidhi,NEP532,3,3,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
"Adhunik Natak, Ekanki Ra Nibandha",NEP533,3,3,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Paschatya Sahitya Siddhant,NEP534,3,3,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Prayogik Bhasa Bigyanka Kehi Paksha,NEP535,3,3,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Nepali Bhasa Sikshanka Bibidha Paksha,NEP536,3,3,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Practicum On,NEP541,6,4,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Practicum Off,NEP542,3,4,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Shodhapatra Lekhan,NEP543,12,4,Musikot Khalanga Multiple Campus,MEd in Nepali,Master
Introduction to Eng. language Teaching,ENG445,3,4,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Teaching Listening and Speaking,ENG451,3,5,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Teaching Vocabulary and Grammar,ENG452,3,5,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Teaching Reading and Writing,ENG453,3,5,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Researching English Language,ENG454,3,5,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Bilingualism and Multilingualism,ENG455,3,5,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Using Literature for Language  Dev.,ENG461,3,6,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Teaching English to Young Learners,ENG462,3,6,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Interdisciplinary Reading,ENG463,3,6,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Writing English Language Tests,ENG464,3,6,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Drama Study,ENG465,3,6,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
English Teacher Professional Dev.,ENG471,3,7,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Introduction to SLA,ENG472,3,7,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
"Reading,Writing & Critical Thinking",ENG473,3,7,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Phonetics and Phonology,ENG474,60,7,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Language and Power,ENG475,3,7,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Planning in ELT,ENG481,3,8,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
ELT Materials Design Seminar,ENG482,3,8,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Creative Writi. Semi. & Workshop in Eng,ENG483,3,8,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Student Teaching : On Campus,ENG484,3,8,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
Student Teaching : Off Campus,ENG485,3,8,Musikot Khalanga Multiple Campus,BEd in English,Bachelor
English Language Proficiency I,COM411,3,1,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Compulsory Nepali I,COM412,3,1,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
English Language Proficiency II,COM421,3,2,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Readings in Nepali Language,COM422,3,2,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Socio-Philosophical Found. of Education,EDU413,3,1,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Emerging Theories of Learning,EDU423,3,2,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Educational Development in Nepal,EDU431,3,3,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Curriculum and Assessment ,EDU432,3,3,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Social Justice in Education,EDU441,3,4,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Fundamental of Research in Education ,EDU442,3,4,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Calculus for Teachers,MATH414,3,1,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Number Theories for Teachers,MATH415,3,1,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Matrix Algebra,MATH424,3,2,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Geometry for Teachers,MATH425,3,2,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Algebra for Teachers,MATH433,3,3,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Discrete Mathematics,MATH434,3,3,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Graph Theory,MATH435,3,3,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Trigonometry for Teachers,MATH443,3,4,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Vector Analysis for Teachers,MATH444,3,4,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Logic for Teachers ,MATH445,3,4,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Fundamentals of Real Analysis,MATH451,3,5,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Analytical Solid Geometry,MATH452,3,5,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Basic Abstract Algebra,MATH453,3,5,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Projective Geometry,MATH454,3,5,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Mathematical Programs,MATH455,3,5,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Data Modeling,MATH461,3,6,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Principles of Real Analysis,MATH462,3,6,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Differential Equations,MATH463,3,6,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Multivariable Calculus ,MATh464,3,6,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Inferential Statistics,MATH465,3,6,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Mathematical Modeling,MATH471,3,7,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Basic Topology,MATH472,3,7,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Complex Analysis,MATH473,3,7,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Operation Research,MATH474,3,7,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Theory of Mathematics Instruction,MATH475,3,7,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Action Research in Teaching Math.,MATH481,3,8,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Teaching Material Development,MATH482,3,8,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Instructional Design in Mathematics ,MATH483,3,8,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Teaching Practice on Campus ,MATH484,3,8,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Socio-Philosophical Found. of Education,EDU413,3,1,Musikot Khalanga Multiple Campus,BEd in Science ,Bachelor
Compulsory Nepali I,COM412,3,1,Musikot Khalanga Multiple Campus,BEd in Science ,Bachelor
English Language Proficiency I,COM411,3,1,Musikot Khalanga Multiple Campus,BEd in Science ,Bachelor
Teaching Practice off Campus ,MATH485,3,8,Musikot Khalanga Multiple Campus,BEd in Mathematics,Bachelor
Basic Human Anatomy and Physiology I,HEP415,3,1,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Basic Anatomy and Physiology II,HEP424,3,2,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Communicable Diseases Control ,HEP425,3,2,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Foundations of Health Promotion,HEP433,3,3,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Demography and Health,HEP434,3,3,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Food and Nutrition Education,HEP435,3,3,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Fundamentals of Epidemiology,HEP443,3,4,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Essentials of Environmental Health,HEP444,3,4,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Reproductive Health,HEP445,3,4,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Foundations of Public Health,HEP451,3,5,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Non Communicable Disease Prevention,HEP452,3,5,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Adolescent Health and Sexuality,HEP453,3,5,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Teaching Method For Health Edu.&Promo.,HEP454,3,5,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
"Curriculum,Measurement & Evu.in HEP",HEP455,3,5,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Health Service Management in Nepal,HEP461,3,6,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Mental Health & Drug Abuse,HEP462,3,6,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Occupational Health and Safety,HEP463,3,6,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Disaster and Emergency Management,HEP464,3,6,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Training & Leadership Dev. in Health Edu,HEP465,3,6,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Primary Health Care & Development,HEP471,3,7,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Needs Assessment in Community Health,HEP472,3,7,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Management & Supervision of SHP,HEP473,3,7,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Professional Dev. & HRM in Health Edu.,HEP474,3,7,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Health Promotion in School & Community,HEP475,3,7,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Practicum on Community Health Edu.,HEP481,3,8,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
School Health Program,HEP482,3,8,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Contemporary Health Challenges,HEP483,3,8,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Student Teaching :On Campus ,HEP484,3,8,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
Student Teaching : Off Campus,HEP485,3,8,Musikot Khalanga Multiple Campus,BEd Health Education and Promotion,Bachelor
English Language Proficiency I,COM411,3,1,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Compulsory Nepali I,COM412,3,1,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
English Language Proficiency II,COM421,3,2,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Readings in Nepali Language,COM422,3,2,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Socio-Philosophical Found. of Education,EDU413,3,1,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Emerging Theories of Learning,EDU423,3,2,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Educational Development in Nepal,EDU431,3,3,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Curriculum and Assessment ,EDU432,3,3,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Social Justice in Education,EDU441,3,4,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Fundamental of Research in Education ,EDU442,3,4,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Purbaadhunik Bhasha ra Sahitya,NEP414,3,1,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Aadhunik Nepali Katha,NEP415,3,1,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Nepali Bhasa Ko Parichaya,NEP424,3,2,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Adhunik Nepali Upanyas,NEP425,3,2,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Samanya Bhasa Bigyan,NEP433,3,5,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Nepali Lok Sahitya,NEP434,3,5,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
Adhunik Nepali Nibandha Ra Samalochana,NEP435,3,5,Musikot Khalanga Multiple Campus,BEd in Nepali,Bachelor
